Survived,Pclass,Age,SibSp,Parch,Fare,FamilySize,IsAlone,Cabins_booked,Embarked_in_Cherbourg,Embarked_in_Queenstown,Embarked_in_Southampton,Embarked_in_Unknown,Sex_female,Sex_male,Age_Group_Child,Age_Group_Young Adult,Age_Group_Adult,Age_Group_Senior,Fare_Group_Low,Fare_Group_Mediun,Fare_Group_High,Fare_Group_Very High,Age_Class,Fare_per_person
0,3,22.0,1,0,7.25,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,66.0,3.625
1,1,38.0,1,0,71.2833,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,38.0,35.64165
1,3,26.0,0,0,7.925,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,78.0,7.925
1,1,35.0,1,0,53.1,2,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,35.0,26.55
0,3,35.0,0,0,8.05,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,105.0,8.05
0,3,29.69911764705882,0,0,8.4583,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,89.09735294117647,8.4583
0,1,54.0,0,0,51.8625,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,54.0,51.8625
0,3,2.0,3,1,21.075,5,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,6.0,4.215
1,3,27.0,0,2,11.1333,3,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,81.0,3.7111
1,2,14.0,1,0,30.0708,2,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,28.0,15.0354
1,3,4.0,1,1,16.7,3,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,12.0,5.566666666666666
1,1,58.0,0,0,26.55,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,58.0,26.55
0,3,20.0,0,0,8.05,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,60.0,8.05
0,3,39.0,1,5,31.275,7,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,117.0,4.4678571428571425
0,3,14.0,0,0,7.8542,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,42.0,7.8542
1,2,55.0,0,0,16.0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,110.0,16.0
0,3,2.0,4,1,29.125,6,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,6.0,4.854166666666667
1,2,29.69911764705882,0,0,13.0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,59.39823529411764,13.0
0,3,31.0,1,0,18.0,2,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,93.0,9.0
1,3,29.69911764705882,0,0,7.225,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,89.09735294117647,7.225
0,2,35.0,0,0,26.0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,70.0,26.0
1,2,34.0,0,0,13.0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,68.0,13.0
